文件表头（UserId）,文件表头（Region）,文件表头（ServiceId）,文件表头（FunctionId）,文件表头（StartTime）,文件表头（EndTime）,文件表头（ServiceName）,文件表头（FunctionName）,文件表头（Invocations）,文件表头（ActiveCPUUsage）,文件表头（IdleCPUUsage）,文件表头（MemoryUsage）,文件表头（DiskUsage）,文件表头（GPUUsage）,文件表头（DataTransferOut）,闲置GPU使用量,CU使用量
1484622338564623	,cn-hongkong,0b4c5c31-6a45-423e-b0dc-f684910295c9,0b4c5c31-6a45-423e-b0dc-f684910295c9,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding2,,,,,,,,,383
1484622338564623	,cn-hongkong,0b4c5c31-6a45-423e-b0dc-f684910295c9,0b4c5c31-6a45-423e-b0dc-f684910295c9,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding2,,,,,,,,,100
1484622338564623	,cn-hongkong,2608f41f-abac-431a-806e-a12c3c011452,2608f41f-abac-431a-806e-a12c3c011452,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding5,,,,,,,,,453
1484622338564623	,cn-hongkong,2608f41f-abac-431a-806e-a12c3c011452,2608f41f-abac-431a-806e-a12c3c011452,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding5,,,,,,,,,100
1484622338564623	,cn-hongkong,56320fcd-010c-4635-bc09-8e6baeba5f36,56320fcd-010c-4635-bc09-8e6baeba5f36,2026-07-18 20:00:00,2026-07-18 21:00:00,,base_line_Tow_satge_search,,,,,,,,,14921
1484622338564623	,cn-hongkong,56320fcd-010c-4635-bc09-8e6baeba5f36,56320fcd-010c-4635-bc09-8e6baeba5f36,2026-07-18 21:00:00,2026-07-18 22:00:00,,base_line_Tow_satge_search,,,,,,,,,10669
1484622338564623	,cn-hongkong,56320fcd-010c-4635-bc09-8e6baeba5f36,56320fcd-010c-4635-bc09-8e6baeba5f36,2026-07-18 22:00:00,2026-07-18 23:00:00,,base_line_Tow_satge_search,,,,,,,,,42545
1484622338564623	,cn-hongkong,5c285c19-edcf-4fd7-81b5-e6d64326cef0,5c285c19-edcf-4fd7-81b5-e6d64326cef0,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding1,,,,,,,,,374
1484622338564623	,cn-hongkong,5c285c19-edcf-4fd7-81b5-e6d64326cef0,5c285c19-edcf-4fd7-81b5-e6d64326cef0,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding1,,,,,,,,,100
1484622338564623	,cn-hongkong,6b6141bf-7f4c-4a9e-baee-f8df20cb095f,6b6141bf-7f4c-4a9e-baee-f8df20cb095f,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding6,,,,,,,,,364
1484622338564623	,cn-hongkong,6b6141bf-7f4c-4a9e-baee-f8df20cb095f,6b6141bf-7f4c-4a9e-baee-f8df20cb095f,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding6,,,,,,,,,100
1484622338564623	,cn-hongkong,84915c62-7237-455a-b501-a592c7c5ca80,84915c62-7237-455a-b501-a592c7c5ca80,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding4,,,,,,,,,343
1484622338564623	,cn-hongkong,84915c62-7237-455a-b501-a592c7c5ca80,84915c62-7237-455a-b501-a592c7c5ca80,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding4,,,,,,,,,100
1484622338564623	,cn-hongkong,a2eece2c-c220-4170-b579-691cd432137b,a2eece2c-c220-4170-b579-691cd432137b,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding7,,,,,,,,,335
1484622338564623	,cn-hongkong,a2eece2c-c220-4170-b579-691cd432137b,a2eece2c-c220-4170-b579-691cd432137b,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding7,,,,,,,,,100
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-07-18 20:00:00,2026-07-18 21:00:00,,base_line_full_search,,,,,,,,,3311
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-07-18 21:00:00,2026-07-18 22:00:00,,base_line_full_search,,,,,,,,,9562
1484622338564623	,cn-hongkong,bc7a6631-64dd-467e-84e3-6e5ca0519ace,bc7a6631-64dd-467e-84e3-6e5ca0519ace,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding3,,,,,,,,,299
1484622338564623	,cn-hongkong,bc7a6631-64dd-467e-84e3-6e5ca0519ace,bc7a6631-64dd-467e-84e3-6e5ca0519ace,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding3,,,,,,,,,100
1484622338564623	,cn-hongkong,f0317072-05a4-498f-909f-f6397387aa5b,f0317072-05a4-498f-909f-f6397387aa5b,2026-07-18 20:00:00,2026-07-18 21:00:00,,sharding0,,,,,,,,,1416
1484622338564623	,cn-hongkong,f0317072-05a4-498f-909f-f6397387aa5b,f0317072-05a4-498f-909f-f6397387aa5b,2026-07-18 21:00:00,2026-07-18 22:00:00,,sharding0,,,,,,,,,100
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-07-18 20:00:00,2026-07-18 21:00:00,,vector_search,,,,,,,,,720
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-07-18 21:00:00,2026-07-18 22:00:00,,vector_search,,,,,,,,,100
